Elapsed time;qo;Qo
(hr);(m3/D);(m3)
2970;12,50257952;1798,708998
2973;12,50257952;1800,27182
2976;12,50257952;1801,834643
2979;12,49416628;1803,396414
2982;12,48986278;1804,957647
2985;12,48986278;1806,518879
2988;12,48986278;1808,080112
2991;12,48986278;1809,641345
2994;12,48986278;1811,202578
2997;12,48986278;1812,763811
3000;12,48986278;1814,325044
3003;12,48571024;1815,885757
3006;12,47727633;1817,445417
3009;12,47727633;1819,005076
3012;12,47727633;1820,564736
3015;12,47727633;1822,124396
3018;12,47727633;1823,684055
3021;12,47727633;1825,243715
3024;12,47727633;1826,803374
3027;12,47727633;1828,363034
3030;12,46483947;1829,921139
3033;12,46481773;1831,479241
3036;12,46481773;1833,037343
3039;12,46481773;1834,595445
3042;12,46481773;1836,153548
3045;12,46481773;1837,71165
3048;12,46481773;1839,269752
3051;12,46481773;1840,827854
3054;12,45659663;1842,384929
3057;12,45248463;1843,941489
3060;12,45248463;1845,49805
3063;12,45248463;1847,05461
3066;12,45248463;1848,611171
3069;12,45248463;1850,167732
3072;12,45248463;1851,724292
3075;12,45248463;1853,280853
3078;12,44839528;1854,836902
3081;12,44027475;1856,391937
3084;12,44027475;1857,946971
3087;12,44027475;1859,502005
3090;12,44027475;1861,05704
3093;12,44027475;1862,612074
3096;12,44027475;1864,167108
3099;12,44027475;1865,722143
3102;12,4402354;1867,277172
3105;12,42818585;1868,830695
3108;12,42818585;1870,384219
3111;12,42818585;1871,937742
3114;12,42818585;1873,491265
3117;12,42818585;1875,044788
3120;12,42818585;1876,598311
3123;12,42818585;1878,151835
3126;12,42818585;1879,705358
3129;12,42014689;1881,257876
3132;12,41621577;1882,809903
3135;12,41621577;1884,36193
3138;12,41621577;1885,913957
3141;12,41621577;1887,465984
3144;12,41621577;1889,018011
3147;12,41621577;1890,570038
3150;12,41621577;1892,122065
3153;12,41218655;1893,673588
3156;12,40436238;1895,224134
3159;12,40436238;1896,774679
3162;12,40436238;1898,325224
3165;12,40436238;1899,87577
3168;12,40436238;1901,426315
3171;12,40436238;1902,97686
3174;12,40436238;1904,527405
3177;12,40426548;1906,077939
3180;12,39262363;1907,627017
3183;12,39262363;1909,176095
3186;12,39262363;1910,725173
3189;12,39262363;1912,27425
3192;12,39262363;1913,823328
3195;12,39262363;1915,372406
3198;12,39262363;1916,921484
3201;12,39262363;1918,470562
3204;12,38475753;1920,018657
3207;12,3809975;1921,566282
3210;12,3809975;1923,113906
3213;12,3809975;1924,661531
3216;12,3809975;1926,209156
3219;12,3809975;1927,75678
3222;12,3809975;1929,304405
3225;12,3809975;1930,85203
3228;12,37702557;1932,399158
3231;12,36948204;1933,945343
3234;12,36948204;1935,491528
3237;12,36948204;1937,037714
3240;12,36948204;1938,583899
3243;12,36948204;1940,130084
3246;12,36948204;1941,67627
3249;12,36948204;1943,222455
3252;12,36933085;1944,768621
3255;12,35807534;1946,313381
3258;12,35807534;1947,85814
3261;12,35807534;1949,402899
3264;12,35807534;1950,947659
3267;12,35807534;1952,492418
3270;12,35807534;1954,037178
3273;12,35807534;1955,581937
3276;12,35807534;1957,126696
3279;12,35037353;1958,670493
3282;12,34677554;1960,21384
3285;12,34677554;1961,757187
3288;12,34677554;1963,300534
3291;12,34677554;1964,843881
3294;12,34677554;1966,387228
3297;12,34677554;1967,930575
3300;12,34677554;1969,473922
3303;12,34285826;1971,016779
3306;12,33558081;1972,558727
3309;12,33558081;1974,100674
3312;12,33558081;1975,642622
3315;12,33558081;1977,184569
3318;12,33558081;1978,726517
3321;12,33558081;1980,268465
3324;12,33558081;1981,810412
3327;12,33537834;1983,352335
3330;12,32448938;1984,892896
3333;12,32448938;1986,433457
3336;12,32448938;1987,974018
3339;12,32448938;1989,514579
3342;12,32448938;1991,05514
3345;12,32448938;1992,595702
3348;12,32448938;1994,136263
3351;12,32448938;1995,676824
3354;12,31694388;1997,216442
3357;12,31349953;1998,755629
3360;12,31349953;2000,294817
3363;12,31349953;2001,834004
3366;12,31349953;2003,373192
3369;12,31349953;2004,912379
3372;12,31349953;2006,451567
3375;12,31349953;2007,990754
3378;12,30963444;2009,529458
3381;12,30260956;2011,067284
3384;12,30260956;2012,605111
3387;12,30260956;2014,142937
3390;12,30260956;2015,680763
3393;12,30260956;2017,218589
3396;12,30260956;2018,756415
3399;12,30260956;2020,294242
3402;12,3023586;2021,832036
3405;12,29181784;2023,368514
3408;12,29181784;2024,904991
3411;12,29181784;2026,441468
3414;12,29181784;2027,977945
3417;12,29181784;2029,514423
3420;12,29181784;2031,0509
3423;12,29181784;2032,587377
